HORA DE TRABAJO A PARTIR DEL DIA VIERNES 24 DE ENERO 2025;;;;;;;;;;;;;;;;;;;;;;;
DIA;HORA DE SALIDA;ORIGEN;DESTINO;HORA DE LLEGADA BUS;05-mar;06-mar;07-mar;08-mar;09-mar;10-mar;11-mar;12-mar;13-mar;14-mar;15-mar;16-mar;17-mar;18-mar;19-mar;20-mar;21-mar;22-mar;23-mar
1;16:00;AMBATO;QUITO;;72;100;78;;4;5;6;7;9;10;;14;16;17;19;20;21;;29
;GUIAS;QUITO;HUAQUILLAS;;;;;;;;;;;;;;;;;;;;
2;GUIAS;HUAQUILLAS;MACHALA;;69;72;100;78;;4;5;6;7;9;10;;14;16;17;19;20;21;
;20:30;MACHALA;AMBATO;;;;;;;;;;;;;;;;;;;;
3;5:35;AMBATO;QUITO;;68;69;72;100;78;96;4;5;6;7;9;10;12;14;16;17;19;20;21
;10:00;QUITO;GUAYAQUIL;;;;;;;;;;;;;;;;;;;;
;22:00;GUAYAQUIL;QUITO;;;;;;;;;;;;;;;;;;;;
4;8:45;QUITO;AMBATO;;57;68;69;72;100;78;96;4;5;6;7;9;10;12;14;16;17;19;20
5;11:00;AMBATO;QUITO;;56;57;68;69;72;100;78;96;4;5;6;7;9;10;12;14;16;17;19
;16:00;QUITO;LOJA;;;;;;;;;;;;;;;;;;;;
6;15:00;LOJA;QUITO;;54;56;57;68;69;72;100;78;96;4;5;6;7;9;10;12;14;16;17
;19:45;CUENCA;QUITO;;;;;;;;;;;;;;;;;;;;
7;6:15;QUITO;AMBATO;;52;54;56;57;68;69;72;100;78;96;4;5;6;7;9;10;12;14;16
8;;PARADA;;;50;52;54;56;57;68;69;72;100;78;96;4;5;6;7;9;10;12;14
9;21:00;AMBATO;TULCAN;;44;50;52;54;56;57;68;69;72;100;78;96;4;5;6;7;9;10;12
10;14:00;TULCAN;AMBATO;;42;44;50;52;54;56;57;68;69;72;100;78;96;4;5;6;7;9;10
11;6:15;AMBATO;CUENCA;;41;42;44;50;52;54;56;57;68;69;72;100;78;96;4;5;6;7;9
;19:00;CUENCA;QUITO;;;;;;;;;;;;;;;;;;;;
12;10:45;QUITO;CUENCA;;40;41;42;44;50;52;54;56;57;68;69;72;100;78;96;4;5;6;7
;0:00;CUENCA;QUITO;;;;;;;;;;;;;;;;;;;;
13;10:50;QUITO;AMBATO;;38;40;41;42;44;50;52;54;56;57;68;69;72;100;78;96;4;5;6
14;17:15;AMBATO;QUITO;;36;38;40;41;42;44;50;52;54;56;57;68;69;72;100;78;96;4;5
;21:00;QUITO;MACHALA;;;;;;;;;;;;;;;;;;;;
15;21:30;MACHALA;QUITO;;35;36;38;40;41;42;44;50;52;54;56;57;68;69;72;100;78;96;4
16;13:40;QUITO;LOJA;12:00;34;35;36;38;40;41;42;44;50;52;54;56;57;68;69;72;100;78;96
17;11:00;LOJA;QUITO;;32;34;35;36;38;40;41;42;44;50;52;54;56;57;68;69;72;100;78
;17:30;MACHALA;QUITO;;;;;;;;;;;;;;;;;;;;
18;10:15;QUITO;HUAQUILLAS;;31;32;34;35;36;38;40;41;42;44;50;52;54;56;57;68;69;72;100
19;13:00:00;HUAQUILLAS;QUITO;;29;31;32;34;35;36;38;40;41;42;44;50;52;54;56;57;68;69;72
20;3:55;QUITO;AMBATO;;27;29;31;32;34;35;36;38;40;41;42;44;50;52;54;56;57;68;69
;12:00;AMBATO;CUENCA;;;;;;;;;;;;;;;;;;;;
21;3:20;CUENCA;AMBATO;;21;27;29;31;32;34;35;36;38;40;41;42;44;50;52;54;56;57;68
22;15:00;AMBATO;QUITO;;20;21;27;29;31;32;34;35;36;38;40;41;42;44;50;52;54;56;57
;19:10;QUITO;LOJA;;;;;;;;;;;;;;;;;;;;
23;20:40;LOJA;QUITO;;19;20;21;27;29;31;32;34;35;36;38;40;41;42;44;50;52;54;56
24;1:00;CUENCA;QUITO;;17;19;20;21;27;29;31;32;34;35;36;38;40;41;42;44;50;52;54
;17:00;QUITO;AMBATO;;;;;;;;;;;;;;;;;;;;
;21:00;AMBATO;HUAQUILLAS;;;;;;;;;;;;;;;;;;;;
25;17:30;HUAQUILLAS;QUITO;;16;17;19;20;21;27;29;31;32;34;35;36;38;40;41;42;44;50;52
26;19:45;QUITO;LOJA;;14;16;17;19;20;21;27;29;31;32;34;35;36;38;40;41;42;44;50
27;18:45;LOJA;QUITO;;12;14;16;17;19;20;21;27;29;31;32;34;35;36;38;40;41;42;44
;23:30;CUENCA;QUITO;;;;;;;;;;;;;;;;;;;;
28;14:45;QUITO;CUENCA;;10;12;14;16;17;19;20;21;27;29;31;32;34;35;36;38;40;41;42
29;10:00;CUENCA;QUITO;;9;10;12;14;16;17;19;20;21;27;29;31;32;34;35;36;38;40;41
;22:15;QUITO;AMBATO;;;;;;;;;;;;;;;;;;;;
30;;PARADA;;;7;9;10;12;14;16;17;19;20;21;27;29;31;32;34;35;36;38;40
31;10:00;AMBATO;QUITO;;6;7;9;10;12;14;16;17;19;20;21;27;29;31;32;34;35;36;38
;15:45;QUITO;CARIAMANGA;;;;;;;;;;;;;;;;;;;;
32;11:00;CARIAMANGA;QUITO;;5;6;7;9;10;12;14;16;17;19;20;21;27;29;31;32;34;35;36
33;21:00;QUITO;GUAYAQUIL;;4;5;6;7;9;10;12;14;16;17;19;20;21;27;29;31;32;34;35
34;15:00;GUAYAQUIL;LATACUNGA;;96;4;5;6;7;9;10;12;14;16;17;19;20;21;27;29;31;32;34
;23:45;LATACUNGA;GUAYAQUIL;;;;;;;;;;;;;;;;;;;;
35;11:00;GUAYAQUIL;QUITO;;78;96;4;5;6;7;9;10;12;14;16;17;19;20;21;27;29;31;32
;22:30;AMBATO;CUENCA;20:30;;;;;;;;;;;;;;;;;;;
36;9:00;CUENCA;AMBATO;;73;78;96;4;5;6;7;9;10;12;14;16;17;19;20;21;27;29;31
